traitX,traitY,traitZ,itemA,itemB,itemC,itemD,itemE,itemF,itemG
50,61,51,1,1,1,1,1,1,1
47,49,34,0,1,1,0,0,0,0
50,50,47,1,0,1,0,0,0,0
50,59,69,0,1,1,0,1,1,1
52,52,44,1,0,0,1,1,1,1
50,50,49,0,1,0,1,0,0,1
50,49,37,1,1,1,1,0,1,1
46,49,58,0,0,1,0,0,1,1
53,56,44,0,1,0,1,1,0,1
53,47,55,0,0,0,0,1,1,0
45,62,49,1,0,0,1,0,0,1
59,47,70,1,1,1,1,0,1,1
52,49,55,0,0,0,1,0,1,1
52,46,60,1,0,0,0,0,1,0
55,50,47,0,0,1,1,1,1,0
41,54,50,1,0,1,1,0,0,0
45,46,54,1,0,0,1,0,1,0
55,42,52,1,0,1,0,1,0,0
59,64,45,1,0,1,0,1,1,1
43,43,57,1,0,1,0,1,0,1
56,54,50,1,1,1,1,0,0,1
42,54,46,0,1,0,1,0,0,0
55,40,49,0,0,1,1,0,1,0
46,50,47,0,0,0,1,1,0,1
61,57,50,0,1,0,0,1,0,0
50,36,50,1,0,1,0,1,0,0
44,48,50,1,1,1,0,1,0,0
49,55,46,1,1,1,1,1,0,0
61,47,56,1,0,1,0,1,0,0
46,48,50,1,0,0,0,1,1,0
